date,close
21-Oct-15 22:52,9.70
21-Oct-15 22:51,9.69
21-Oct-15 22:50,11.81
21-Oct-15 22:49,10.01
21-Oct-15 22:48,9.28
21-Oct-15 22:47,11.49
21-Oct-15 22:46,14.40
21-Oct-15 22:45,14.01
21-Oct-15 22:44,9.87
21-Oct-15 22:43,9.00
21-Oct-15 22:42,9.80
21-Oct-15 22:41,10.63
21-Oct-15 22:40,14.56
21-Oct-15 22:39,13.19
21-Oct-15 22:38,14.43
21-Oct-15 22:37,9.24
21-Oct-15 22:36,13.43
21-Oct-15 22:35,11.81
21-Oct-15 22:34,11.29
21-Oct-15 22:33,13.31
21-Oct-15 22:32,12.11
21-Oct-15 22:31,14.90
21-Oct-15 22:30,9.67
21-Oct-15 22:29,13.25
21-Oct-15 22:28,9.50
21-Oct-15 22:27,11.49
21-Oct-15 22:26,10.50
21-Oct-15 22:25,14.10
21-Oct-15 22:24,14.71
21-Oct-15 22:23,14.25
21-Oct-15 22:22,13.48
21-Oct-15 22:21,9.61
21-Oct-15 22:20,14.18
21-Oct-15 22:19,9.85
21-Oct-15 22:18,14.85
21-Oct-15 22:17,14.85
21-Oct-15 22:16,14.28
21-Oct-15 22:15,14.00
21-Oct-15 22:14,12.63
21-Oct-15 22:13,12.40
21-Oct-15 22:12,12.78
21-Oct-15 22:11,14.24
21-Oct-15 22:10,9.68
21-Oct-15 22:09,14.07
21-Oct-15 22:08,13.80
21-Oct-15 22:07,13.07
21-Oct-15 22:06,14.03
21-Oct-15 22:05,11.75
21-Oct-15 22:04,10.51
21-Oct-15 22:03,14.75
