date,close
22-Oct-15 02:12,11.39
22-Oct-15 02:11,14.46
22-Oct-15 02:10,10.61
22-Oct-15 02:09,11.14
22-Oct-15 02:08,9.78
22-Oct-15 02:07,11.72
22-Oct-15 02:06,13.59
22-Oct-15 02:05,9.17
22-Oct-15 02:04,12.93
22-Oct-15 02:03,12.35
22-Oct-15 02:02,10.13
22-Oct-15 02:01,11.41
22-Oct-15 02:00,14.99
22-Oct-15 01:59,13.11
22-Oct-15 01:58,12.79
22-Oct-15 01:57,13.10
22-Oct-15 01:56,13.83
22-Oct-15 01:55,12.88
22-Oct-15 01:54,14.97
22-Oct-15 01:53,10.14
22-Oct-15 01:52,13.67
22-Oct-15 01:51,10.63
22-Oct-15 01:50,10.10
22-Oct-15 01:49,14.72
22-Oct-15 01:48,14.98
22-Oct-15 01:47,12.24
22-Oct-15 01:46,12.77
22-Oct-15 01:45,13.06
22-Oct-15 01:44,9.31
22-Oct-15 01:43,13.21
22-Oct-15 01:42,13.99
22-Oct-15 01:41,12.18
22-Oct-15 01:40,11.24
22-Oct-15 01:39,11.11
22-Oct-15 01:38,10.37
22-Oct-15 01:37,11.42
22-Oct-15 01:36,10.24
22-Oct-15 01:35,14.37
22-Oct-15 01:34,12.10
22-Oct-15 01:33,14.83
22-Oct-15 01:32,13.76
22-Oct-15 01:31,14.85
22-Oct-15 01:30,11.89
22-Oct-15 01:29,11.26
22-Oct-15 01:28,13.05
22-Oct-15 01:27,13.18
22-Oct-15 01:26,14.68
22-Oct-15 01:25,14.13
22-Oct-15 01:24,11.86
22-Oct-15 01:23,11.89
