date,close
22-Oct-15 03:02,10.05
22-Oct-15 03:01,13.84
22-Oct-15 03:00,10.65
22-Oct-15 02:59,10.89
22-Oct-15 02:58,14.68
22-Oct-15 02:57,13.62
22-Oct-15 02:56,11.90
22-Oct-15 02:55,13.91
22-Oct-15 02:54,12.61
22-Oct-15 02:53,10.81
22-Oct-15 02:52,11.86
22-Oct-15 02:51,12.35
22-Oct-15 02:50,13.61
22-Oct-15 02:49,14.94
22-Oct-15 02:48,14.88
22-Oct-15 02:47,12.29
22-Oct-15 02:46,13.27
22-Oct-15 02:45,11.97
22-Oct-15 02:44,9.77
22-Oct-15 02:43,9.84
22-Oct-15 02:42,13.13
22-Oct-15 02:41,13.97
22-Oct-15 02:40,10.87
22-Oct-15 02:39,10.11
22-Oct-15 02:38,10.34
22-Oct-15 02:37,14.78
22-Oct-15 02:36,14.93
22-Oct-15 02:35,10.25
22-Oct-15 02:34,9.80
22-Oct-15 02:33,11.40
22-Oct-15 02:32,12.26
22-Oct-15 02:31,13.69
22-Oct-15 02:30,11.62
22-Oct-15 02:29,11.88
22-Oct-15 02:28,10.19
22-Oct-15 02:27,13.61
22-Oct-15 02:26,14.86
22-Oct-15 02:25,11.86
22-Oct-15 02:24,11.89
22-Oct-15 02:23,12.03
22-Oct-15 02:22,10.76
22-Oct-15 02:21,11.33
22-Oct-15 02:20,11.23
22-Oct-15 02:19,9.53
22-Oct-15 02:18,13.47
22-Oct-15 02:17,9.26
22-Oct-15 02:16,13.83
22-Oct-15 02:15,9.52
22-Oct-15 02:14,10.21
22-Oct-15 02:13,11.39
