date,close
22-Oct-15 05:32,10.43
22-Oct-15 05:31,11.34
22-Oct-15 05:30,9.17
22-Oct-15 05:29,9.92
22-Oct-15 05:28,10.33
22-Oct-15 05:27,9.16
22-Oct-15 05:26,14.12
22-Oct-15 05:25,14.13
22-Oct-15 05:24,9.86
22-Oct-15 05:23,12.63
22-Oct-15 05:22,14.86
22-Oct-15 05:21,13.21
22-Oct-15 05:20,9.02
22-Oct-15 05:19,12.37
22-Oct-15 05:18,10.77
22-Oct-15 05:17,14.97
22-Oct-15 05:16,11.32
22-Oct-15 05:15,12.09
22-Oct-15 05:14,12.07
22-Oct-15 05:13,14.30
22-Oct-15 05:12,10.74
22-Oct-15 05:11,12.48
22-Oct-15 05:10,11.80
22-Oct-15 05:09,10.32
22-Oct-15 05:08,14.92
22-Oct-15 05:07,10.12
22-Oct-15 05:06,12.93
22-Oct-15 05:05,10.74
22-Oct-15 05:04,12.26
22-Oct-15 05:03,10.11
22-Oct-15 05:02,11.99
22-Oct-15 05:01,10.86
22-Oct-15 05:00,9.25
22-Oct-15 04:59,13.22
22-Oct-15 04:58,10.91
22-Oct-15 04:57,9.74
22-Oct-15 04:56,13.07
22-Oct-15 04:55,12.57
22-Oct-15 04:54,14.17
22-Oct-15 04:53,14.97
22-Oct-15 04:52,12.23
22-Oct-15 04:51,14.30
22-Oct-15 04:50,11.75
22-Oct-15 04:49,11.99
22-Oct-15 04:48,12.63
22-Oct-15 04:47,10.17
22-Oct-15 04:46,12.47
22-Oct-15 04:45,9.08
22-Oct-15 04:44,9.96
22-Oct-15 04:43,9.84
