name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
1,14.2,5,157,55,2464,10.3,94
2,48.0,4,121,102,4783,21.4,121
3,14.2,10,467,149,5210,22.0,84
4,37.3,10,213,159,4184,16.1,103
5,40.4,10,494,76,3397,9.3,78
6,11.0,3,512,65,2898,18.6,95
7,53.0,9,420,134,2724,21.6,146
8,18.3,7,91,211,5897,22.3,87
9,22.6,9,515,268,2889,18.7,75
10,8.9,4,187,252,1518,22.9,85
11,52.3,6,337,243,5782,11.9,88
12,39.6,5,332,276,1891,31.6,81
13,51.6,4,119,275,2882,15.3,107
14,17.2,4,522,202,2324,13.7,133
15,28.6,9,168,232,1202,16.7,139
16,52.7,5,250,167,4775,8.4,136
17,23.4,9,94,168,4716,20.2,75
18,44.9,8,134,92,4103,24.9,83
19,11.6,3,264,191,1557,27.3,126
20,14.7,6,92,97,4009,25.6,123
21,36.0,9,268,58,4496,30.8,72
22,23.5,10,465,163,2549,11.0,70
23,46.5,6,277,114,4495,29.8,134
24,36.3,7,158,78,5094,32.5,142
25,9.2,5,527,145,4533,25.7,92
26,43.1,9,347,67,5450,9.2,120
27,26.6,6,424,69,3209,26.6,105
28,31.8,8,226,68,5316,8.7,75
29,26.7,4,284,95,5053,20.7,139
30,33.2,3,233,207,3690,12.4,121
31,10.3,4,156,196,5120,8.4,126
32,41.2,6,99,131,5287,24.2,87
33,37.1,5,174,243,4746,30.5,137
34,48.8,4,473,61,4275,28.2,97
35,15.2,7,306,199,5168,31.2,108
36,25.8,10,327,93,3582,15.3,145
37,15.0,5,322,276,1905,24.8,128
38,15.3,3,362,252,5837,15.6,131
39,27.3,10,381,223,1460,15.4,72
40,13.0,9,494,78,3086,16.2,150
41,49.6,9,150,96,1511,28.4,79
42,46.3,8,292,277,4106,8.4,88
43,42.3,4,401,232,2992,16.6,130
44,43.6,9,225,250,6055,31.3,113
45,31.5,10,211,90,3438,27.0,99
46,53.9,7,419,135,4326,29.1,112
47,9.0,10,385,279,2055,23.3,130
48,41.0,8,489,171,6107,25.1,134
49,47.3,10,278,158,3141,14.8,90
50,34.0,3,100,102,5569,8.0,90
51,35.7,5,117,113,4098,17.8,86
52,12.2,4,111,224,3870,22.8,104
53,13.9,9,286,198,5518,11.6,85
54,40.1,3,250,121,5323,15.2,103
55,19.8,4,305,73,2353,10.2,83
56,32.4,10,140,148,5658,21.8,76
57,26.6,7,146,91,3984,20.4,144
58,19.5,5,150,187,6007,19.5,115
59,48.8,9,170,259,1368,18.6,90
60,9.1,7,521,268,3884,22.3,116
61,53.7,8,149,264,1832,12.9,80
62,53.3,4,153,51,4231,12.4,92
63,8.7,3,517,64,1205,25.9,92
64,22.3,8,392,68,5396,8.5,126
65,41.1,10,342,104,3433,19.8,149
66,15.3,10,366,157,3977,13.5,81
67,26.1,7,433,134,3230,28.2,93
68,19.8,9,213,238,5729,10.3,102
69,15.9,6,303,240,4542,25.8,135
70,17.8,6,191,257,5455,30.3,140
71,53.7,7,82,127,2318,29.1,142
72,29.0,7,403,147,1600,8.5,97
73,18.0,8,242,142,5784,30.2,141
74,15.2,5,520,217,5844,31.9,124
75,30.7,6,355,136,4941,8.1,123
76,52.9,6,195,238,3008,21.3,137
77,21.3,7,336,144,2705,31.4,143
78,27.8,7,528,179,2044,8.3,73
79,43.7,9,77,279,2677,9.0,122
80,43.0,10,230,186,5682,25.2,102
81,20.5,4,225,225,1983,32.2,101
82,42.7,8,388,187,5512,9.6,135
83,48.4,6,116,155,6132,17.6,145
84,11.0,6,390,185,3039,17.7,93
85,26.1,4,491,73,4689,10.2,115
86,41.2,10,133,245,3334,8.1,72
87,43.8,10,473,159,1988,32.6,75
88,23.3,5,218,90,3263,30.6,144
89,48.9,4,390,211,2729,11.1,149
90,9.4,4,257,267,5272,20.0,113
91,27.7,5,218,139,1569,22.1,97
92,53.7,4,313,263,1621,24.4,130
93,34.0,8,153,245,3581,20.8,109
94,40.3,6,122,189,1301,11.1,141
95,17.3,5,153,179,3313,29.4,140
96,24.9,3,96,70,3424,24.1,107
97,14.7,3,453,226,3360,8.4,144
98,42.6,8,333,278,5568,14.0,123
99,48.9,3,179,148,4286,11.2,79
100,31.4,7,400,59,5674,25.8,107
101,18.4,4,151,216,3509,32.4,78
102,30.5,5,86,201,1606,26.3,100
103,40.7,8,420,261,3230,23.7,110
104,38.0,9,157,79,5526,31.6,91
105,19.2,6,227,256,2899,15.9,85
106,48.4,9,332,207,1713,14.3,99
107,9.4,6,195,196,2005,23.9,96
108,26.2,4,280,147,6199,9.1,71
109,35.1,4,124,273,5919,19.9,73
110,12.0,5,391,267,5098,31.7,75
111,41.2,7,231,73,3395,19.1,113
112,38.5,9,91,217,1772,28.3,99
113,52.7,7,442,126,3717,31.5,125
114,17.4,7,109,187,6145,25.3,86
115,37.0,6,483,258,4083,17.7,101
116,46.5,10,278,163,3684,22.3,87
117,44.1,8,308,261,4377,31.7,105
118,39.6,10,427,277,2996,9.1,110
119,29.7,8,422,114,5522,11.6,86
120,48.5,8,278,57,5061,14.0,103
121,53.0,4,98,177,4917,17.0,130
122,43.4,9,480,205,4176,19.1,150
123,38.5,10,463,212,5042,8.2,89
124,12.8,5,232,150,2068,16.0,75
125,29.0,4,346,146,4987,25.4,119
126,14.0,10,80,216,4126,24.0,141
127,37.8,8,243,216,4554,27.7,150
128,26.4,8,115,123,4598,23.9,119
129,47.9,9,215,214,3239,25.5,94
130,30.6,3,366,76,5288,25.1,92
131,38.7,10,193,56,5090,8.8,77
132,25.7,4,82,197,1864,32.1,106
133,39.9,8,163,98,5602,12.2,143
134,37.8,7,124,256,4328,25.8,119
135,14.1,5,102,60,4639,31.9,107
136,24.0,7,105,183,2389,18.4,141
137,19.3,10,161,257,4525,19.0,151
138,42.9,7,487,245,5226,28.9,115
139,19.0,3,204,141,1928,32.0,110
140,29.9,3,319,252,1228,23.6,127
141,52.0,9,105,63,5245,32.5,130
142,50.4,8,238,251,1925,10.6,112
143,16.6,10,135,219,4756,19.0,122
144,37.6,6,451,245,5157,22.5,133
145,19.2,10,435,114,6224,25.1,74
146,24.1,9,135,260,1307,26.8,71
147,52.1,6,346,113,2306,9.7,76
148,53.4,10,306,98,1288,19.3,123
149,10.8,6,309,198,3439,17.4,92
150,45.2,9,267,116,5600,22.7,103
151,44.6,7,119,62,5094,14.0,108
152,39.7,3,75,275,2279,17.7,76
153,44.1,7,84,170,4235,11.1,121
154,37.8,9,91,126,3312,12.6,80
155,26.5,9,306,149,2713,19.2,132
156,38.3,3,169,261,4888,15.6,110
157,41.1,4,118,195,2959,29.4,100
158,35.1,7,170,117,3684,11.6,91
159,33.8,6,348,236,2715,26.5,147
160,24.0,8,198,56,2682,17.1,129
161,47.9,3,200,197,1523,11.2,99
162,53.8,5,133,218,2610,11.1,96
163,34.0,4,274,109,4468,21.5,80
164,50.6,8,345,139,1997,32.1,142
165,42.8,10,484,109,3139,20.8,117
166,48.3,4,341,173,6168,19.4,140
167,16.0,6,384,212,1347,23.9,134
168,19.8,9,113,263,3949,20.3,109
169,32.0,5,260,225,3837,26.0,100
170,37.4,5,503,204,5458,9.2,71
171,43.0,5,494,255,1390,25.9,83
172,26.4,3,472,158,1822,25.1,116
173,26.1,5,93,244,5274,11.8,99
174,38.8,9,478,126,2104,17.7,90
175,22.6,4,218,152,3194,14.0,131
176,36.7,9,210,53,2020,9.8,141
177,13.9,6,434,177,2663,26.4,133
178,39.2,5,420,77,1966,26.4,87
179,42.4,4,176,56,4295,16.0,131
180,40.9,4,162,183,1996,23.1,110
181,10.0,5,347,113,5891,28.0,135
182,22.3,7,131,52,4386,14.2,113
183,21.8,5,133,137,4028,9.0,85
184,23.0,6,293,231,2350,30.7,111
185,43.8,4,290,187,5715,29.1,99
186,15.8,6,473,222,4334,17.7,128
187,12.9,8,138,266,5811,28.9,74
188,31.1,7,173,149,3703,29.0,106
189,36.4,7,407,259,6199,29.4,99
190,41.5,5,498,142,1894,9.6,118
191,12.9,6,275,201,3835,30.2,122
192,46.7,9,315,229,1782,14.6,89
193,29.1,10,192,227,2143,12.0,148
194,21.3,5,357,83,6100,9.7,97
195,15.8,9,187,164,3310,11.5,82
196,25.5,3,264,88,4158,14.3,106
197,40.3,9,104,143,3803,17.4,73
198,38.0,5,381,76,3990,25.5,116
199,34.9,4,335,70,2269,30.4,79
200,42.6,7,411,71,6041,20.8,142
201,9.2,6,196,212,2424,17.0,141
202,28.0,3,490,52,3513,29.8,127
203,51.1,4,114,214,2835,27.3,79
204,20.9,4,460,54,4826,28.0,131
205,42.2,9,342,175,4919,14.3,91
206,15.9,7,450,277,1299,9.3,95
207,34.5,4,343,244,3391,31.0,95
208,50.4,3,304,104,4186,13.2,95
209,48.8,10,372,233,1234,23.2,133
210,45.1,3,158,119,1922,15.5,89
211,18.3,10,517,184,5409,27.5,130
212,22.0,9,150,272,3740,13.7,94
213,33.6,7,256,119,4844,8.4,76
214,53.7,5,453,168,2774,27.2,151
215,34.6,4,359,166,4464,24.2,127
216,10.7,9,460,64,3410,30.6,77
217,53.1,4,362,179,3166,12.5,114
218,39.1,8,467,233,4100,10.1,110
219,8.7,9,179,166,2133,14.4,131
220,24.5,7,230,167,5082,11.3,135
221,31.0,6,434,201,4471,19.2,139
222,30.5,5,341,230,2060,19.5,116
223,37.3,8,80,90,3975,29.0,139
224,14.5,4,448,139,6140,25.1,122
225,24.7,6,487,84,3672,28.9,111
226,33.7,4,411,195,4992,14.5,132
227,43.1,9,91,68,4577,9.7,80
228,16.0,4,344,134,1790,32.0,150
229,40.6,6,164,196,5131,25.4,78
230,14.4,10,335,144,2671,9.8,145
231,34.6,6,82,56,4937,19.0,92
232,38.8,9,177,228,5406,12.7,83
233,53.2,7,261,57,4545,28.6,136
234,53.5,10,128,197,3727,17.3,79
235,50.8,8,239,113,4910,19.8,116
236,9.2,5,185,120,5376,14.3,91
237,50.2,5,525,113,3791,16.5,107
238,43.9,3,512,210,6118,28.6,126
239,51.1,10,515,214,4513,16.7,116
240,45.6,10,81,216,3982,8.5,70
241,15.5,8,98,244,3250,28.0,97
242,43.3,4,170,130,5475,26.5,83
243,11.1,7,470,65,1672,26.5,87
244,25.4,9,162,225,4271,21.0,77
245,13.8,10,209,93,4434,12.8,92
246,50.0,10,385,142,1997,30.7,124
247,25.9,3,346,110,5829,19.4,82
248,30.9,4,328,203,3734,28.3,99
249,50.5,7,318,135,4671,16.5,147
250,25.2,6,240,89,2057,18.0,99
251,29.7,3,370,100,6277,8.7,137
252,41.9,4,270,120,3692,9.3,93
253,8.2,8,216,119,3662,28.4,138
254,8.0,6,322,263,5298,28.7,91
255,29.7,4,500,261,3112,20.8,110
256,21.4,9,96,276,1269,11.6,143
257,28.3,7,513,53,3657,17.2,113
258,12.5,9,155,239,4881,29.9,107
259,24.1,5,219,195,6029,30.3,120
260,23.1,5,107,261,1291,20.4,75
261,26.3,9,84,259,2557,15.0,93
262,24.3,10,364,241,4133,25.7,77
263,14.6,4,218,239,4170,11.6,97
264,12.7,7,197,62,4788,26.4,88
265,40.7,6,95,136,1709,25.1,117
266,9.1,9,507,115,1301,22.7,148
267,31.1,10,494,131,3233,16.0,112
268,31.9,8,413,217,3527,13.0,134
269,13.5,8,514,108,3091,13.0,145
270,15.7,4,517,277,4918,29.2,82
271,8.7,6,281,247,2246,23.9,83
272,25.4,7,358,172,1909,18.2,115
273,51.1,6,322,238,4662,25.5,104
274,13.1,8,383,85,4218,18.6,135
275,24.2,3,478,80,2779,10.3,130
276,37.9,4,519,165,5498,28.8,148
277,44.3,6,226,139,2354,9.7,141
278,45.7,6,312,268,2502,23.1,119
279,25.6,10,349,190,2033,11.1,78
280,36.0,7,226,227,4671,14.7,73
281,50.5,4,339,236,1991,19.4,71
282,13.5,8,205,66,5221,8.3,115
283,15.5,6,155,187,2908,11.5,129
284,10.9,6,512,275,1283,15.2,77
285,43.3,7,291,217,4620,13.1,136
