name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
1,48.0,5,417,68,2757,19.4,115
2,17.0,10,71,113,5598,24.0,94
3,49.2,7,213,191,6040,20.2,76
4,48.9,4,459,116,2194,32.6,139
5,36.0,10,438,249,2439,11.5,150
6,25.5,6,96,81,4836,32.0,143
7,32.5,3,276,213,4377,8.6,75
8,12.0,7,365,191,1407,25.7,80
9,51.3,7,234,145,2731,15.5,125
10,12.0,6,386,156,4193,25.3,86
11,24.1,6,169,99,5055,10.6,151
12,43.1,3,92,111,2085,21.9,94
13,42.2,8,152,220,3852,18.5,99
14,13.9,8,483,217,3450,15.4,137
15,31.7,6,468,78,2756,17.6,149
16,19.5,10,135,161,5188,16.3,95
17,16.9,6,469,137,2310,10.1,132
18,48.4,10,84,128,3319,19.8,130
19,28.8,10,254,123,2543,15.3,118
20,53.0,9,385,67,3184,15.9,144
21,12.1,10,188,168,5755,29.2,128
22,20.5,8,72,73,5586,23.4,95
23,13.2,6,461,66,3226,30.5,108
24,52.0,3,167,244,2002,21.0,109
25,9.7,5,500,93,5942,16.3,80
26,42.1,5,102,236,3774,29.2,74
27,34.8,5,120,198,4268,20.9,141
28,15.8,5,182,248,4226,29.1,139
29,29.3,10,203,58,3735,10.3,95
30,13.8,10,501,150,4683,16.8,149
31,16.6,4,374,220,5047,24.4,151
32,19.7,3,423,270,4154,30.0,71
33,31.5,8,455,105,1528,14.5,90
34,47.5,9,119,58,5557,24.9,78
35,42.1,10,382,271,1731,28.7,93
36,40.2,6,444,193,4252,19.4,149
37,36.0,8,472,263,2966,22.2,107
38,14.2,7,414,157,2800,27.9,132
39,32.3,9,527,56,2846,8.2,115
40,9.4,3,303,112,4446,10.0,151
41,41.3,3,220,75,2018,10.5,122
42,39.9,3,514,245,3915,15.4,107
43,29.9,3,446,177,2095,21.3,89
44,10.1,10,97,137,6018,30.6,107
45,32.5,9,473,213,5378,10.1,114
46,26.5,9,338,210,1675,15.9,116
47,11.8,5,192,186,3369,23.1,131
48,20.5,5,191,81,1831,10.9,139
49,36.3,9,500,279,2391,25.5,127
50,11.8,6,471,120,1802,9.0,131
51,40.4,4,198,66,4855,31.6,132
52,16.7,3,483,278,4985,12.8,129
53,12.0,3,79,216,5556,16.0,81
54,51.6,3,155,177,2184,24.5,141
55,10.2,9,99,230,1357,16.2,116
56,18.1,8,368,154,1296,19.7,71
57,17.2,6,232,151,1201,24.2,95
58,36.9,9,425,61,5768,10.2,70
59,34.2,5,467,277,2538,29.8,148
60,8.7,6,277,51,5712,8.5,107
61,36.4,10,199,197,6185,28.9,88
62,24.6,7,438,104,2628,8.9,82
63,24.6,5,105,74,3524,21.9,141
64,19.7,8,371,213,2125,18.6,105
65,25.3,5,388,104,4826,16.6,121
66,8.9,4,149,229,3965,14.9,104
67,39.2,4,314,66,2223,31.4,110
68,20.4,3,481,148,3408,16.6,103
69,46.8,6,353,198,4984,15.9,83
70,31.7,5,96,173,3774,30.5,106
71,24.6,3,525,272,1981,17.6,150
72,8.4,3,509,61,1960,21.5,108
73,47.9,3,263,277,2315,24.5,77
74,13.0,7,422,170,3435,26.8,147
75,13.2,8,198,254,2109,11.6,84
76,11.4,7,459,74,2973,22.7,91
77,24.2,10,137,162,4897,18.8,103
78,22.1,3,287,188,4053,19.6,149
79,8.9,9,237,200,3923,14.0,120
80,44.8,5,361,79,1735,29.0,116
81,51.1,10,278,142,3527,8.0,131
82,16.6,3,200,124,1329,11.6,134
83,18.9,8,199,202,5609,25.7,149
84,11.8,5,149,84,4096,22.0,86
85,27.0,7,257,268,5205,15.8,139
86,17.7,7,150,232,5839,25.6,92
87,14.3,3,479,106,6294,24.3,129
88,17.2,5,522,192,5111,28.8,142
89,49.2,7,192,210,3617,16.1,91
90,26.5,7,378,159,3804,26.3,78
91,47.0,10,270,170,1963,29.6,104
92,36.3,8,161,225,6228,10.0,73
93,12.9,7,113,115,1352,15.1,92
94,37.2,6,97,168,2459,17.3,143
95,10.5,7,341,199,5552,11.6,87
96,38.9,6,506,149,1327,27.9,102
97,20.5,4,85,116,2138,29.2,115
98,18.6,4,479,210,1421,20.3,135
99,20.7,4,139,160,5805,9.2,90
100,29.7,3,486,74,5892,31.6,147
101,21.6,3,299,181,4969,21.7,99
102,26.0,9,342,106,6241,32.7,124
103,51.2,7,377,125,3666,23.2,73
104,45.4,7,95,164,1699,9.8,106
105,48.2,7,216,86,2308,29.2,75
106,37.7,9,504,52,3941,8.1,126
107,41.4,6,217,219,3955,12.9,119
108,48.1,9,163,141,3668,16.8,99
